artist,title
Lil Dicky,Ex-Boyfriend
Young Jeezy,R.I.P.
Chiddy Bang,The Opposite Of Adults
Young Jeezy,Ballin'
A$AP Rocky,Fuckin' Problem
Lil Wayne,Sky's The Limit
Pusha T,I Don’t Like
Jay-Z and Kanye West,H.A.M
Lupe Fiasco,American Terrorist Pt 2
Wiz Khalifa,The Thrill
Lil Wayne,Up Up and Away
A$AP Rocky,Pretty Flacko Remix
Chiddy Bang,Heatwave
The Rejectz,Cat Daddy
California Swag District,Teach Me How To Dougie
B. Martin,I Want It All
Post Malone,Holyfield
Tory Lanez,Uber Everywhere
