artist,title
Wiz Khalifa,The Thrill
The White Panda,A Cholo You Know
Outasight,Good Evening
DJ Drama,We In This Bitch 1.5
Young Jeezy,Knob Broke
Young Jeezy,I Do
Tarik,Everything I Am III
RZA,Doctor
