artist,title
Blue Scholars,Southside Revival
Dr. Dre,Ain't Nothin' But a G Thang
Nas,N.Y. State of Mind Pt. II
Salt 'n Pepper,Push It
MC Hammer,You Can't Touch This
Sir Mix Alot,Baby Got Back
Tupac Shakur,Keep Ya Head Up
