artist,title
Lil Dicky,Sports
Chucky Slick,I Play Hockey
Florida Georgia Line,Round Here
Roy Jones Jr.,Can't Be Touched
Drake,I'm Ready For You
Kid Cudi,I Do My Thing
Wiz Khalifa,The Thrill
Lil Wayne,Swag Surfin'
Lil Wayne,Sky's The Limit
Big Sean,Marvin Gaye and Chardonnay
