artist,title
Frederic Chopin,Eutde Op 10 No 3 In E Major Tristesse
Fanz Liszt,Liebestraum No 3 Nocturne In a F Lat Major Op 62 Olieb Solang Du Lieben Kannst
Anton Rubinstein,Melodies For Piano Op 3 No 1 Melody In F
Ludwig Van Beethoven,Piano Sonata No 23 In F Minor Op 57 Appassionata 1St Mvt Allegro Assai
Pyotr Il Itsch Tchaikovsky,The Seasons Op 37A 6 June Barcarolle
Pyotr Il Itsch Tchaikovsky,Six Pieces For Piano Solo Op 51 No 6 Valse Sentimental In F Minor
Frederic Chopin,Waltzes Op 34 No 2 In a 
