artist,title
Nickelus F,Number 15
Eric Thomas,How Bad Do You Want It Pt. 2
Eric Thomas,How Bad Do You Want It Pt. 1
Rockie Fresh,Life Long
Slaughterhouse,Monsters In My Head
Slaughterhouse,Truth or Truth
A Skylit Drive,Thank God It's Cloudy Cause I'm Allergic To Sunlight
Escape The Fate,Reverse This Curse
Senses Fail,Angela Baker And My Obsession With Fire
Alesana,Obesesions Is Such An Ugly World
Alesana,The Univeted Thirteenth
Silverstein,Smashed to Pieces
Black Tide,Give Hope
Black Tide,Alone
