playlist
Acoustic Folk-Rock
Alternative Indie
Alternative Rock
Chill Electronic
Chill Trip-Hop
Christmas
Classic Rock
Classical
Classical Solo Piano
College Life
Dance
Dope Muzik
Drake
Dubstep
EDM Bangers
Electro Pop
Epic Music
Experimental
Experimental Rap
Game Day
Ghetto Rap
Going back in Time
Halloween
Hipster Rap
Indie Soul Rock
J. Cole
Jazz
Jazz Fusion
Keep it Classy
Livin' The Life
Lockerroom
Mixes
Odd Future
Old School Hip-Hop
Pop
Post-Game
Pre-Game
R&B/Soul
Rap
Reggae
Rock
Samples
Singer/Songwriter
Smoke Rap
Temporary
Thumbs Up
Today's Alternative
Trap
Trunk Rattlers
Underground Rap
Watsky
Weezy
Weight Lifting
