Genre
Alternative
Alternative/Indie
Atmospheric
Blues
Celtic
Classic Rock
Classical
Comedy
Compilation
Contemporary R&B
Country
Dance
Dance/Electronic
Drum and Bass
Dubstep
Electro House
Electro Swing
Electronic
Electropop
Experimental
Gospel and Religious
Hard Rock
Hardcore
Hardcore Rock
Hip-Hop/Rap
Holiday
House
Indie
Indie Folk
Indie Rock
Instrumental
Irish
Jazz
Jazz Fusion
Lounge
Metal
Motivational
Pop
Post-Rock
Progressive House
Punk Rock
R&B/Soul
Reggae
Rock
Singer/Songwriter
Soundtrack
Swing
Symphonic Rock
Traditional Pop
Trap
World
